protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
calm-mesh,17,1200.0,206,100,106,0.66,0.940316,0.685593,66,4884,5132,4366,766,66,1266.495488,0.255858,0.354579,14300,237168,108525,1811,1197,686,14,57,43,40,7,0.94577,0.14926,0,0,0.0,-1
smart-calm,17,1200.0,206,100,106,0.92,0.911051,13.941395,92,4732,6332,5399,933,97,1562.636288,0.32393,0.726804,18286,291982,139632,2917,1683,821,15,54,46,1181,12,0.943824,0.147347,10,138,113.254147,1
meshtastic-like,18,1200.0,194,101,93,0.920792,0.90169,0.914073,93,4109,7047,7047,0,0,1739.086848,0.413871,0.836684,14022,331281,190712,5416,3238,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,18,1200.0,194,101,93,0.574257,0.942945,0.382941,58,4297,5386,4438,948,62,1329.178624,0.305207,0.620367,14557,249357,117474,3245,0,867,19,52,49,0,0,0.0,0.176012,0,0,0.0,-1
calm-mesh,18,1200.0,194,101,93,0.841584,0.931095,0.71913,85,4243,4853,3916,937,87,1197.642752,0.27672,0.558545,15925,221872,106322,1959,1148,834,16,79,22,63,10,0.944927,0.193076,0,0,0.0,-1
smart-calm,18,1200.0,194,101,93,0.930693,0.958306,3.897266,94,4367,4852,4043,809,109,1197.395968,0.268414,0.649473,18682,219066,107083,2682,1377,686,14,87,14,42,7,0.930084,0.166735,3,137,131.956415,0
meshtastic-like,19,1200.0,213,118,95,0.898305,0.928464,0.714982,106,4322,7972,7972,0,0,1967.362048,0.4443,0.843589,15013,375517,207302,5489,3341,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,19,1200.0,213,118,95,0.838983,0.941783,0.381393,99,4384,6019,4544,1475,99,1485.392896,0.331339,0.56689,17900,276884,130513,2647,0,1349,27,88,30,0,0,0.0,0.245057,0,0,0.0,-1
calm-mesh,19,1200.0,213,118,95,0.483051,0.967777,0.693188,57,4505,4854,4098,756,57,1197.889536,0.26258,0.485457,13117,224582,108358,2133,1254,686,13,53,65,44,7,0.94633,0.155748,0,0,0.0,-1
smart-calm,19,1200.0,213,118,95,0.898305,0.960043,11.028971,106,4469,5649,4690,959,114,1394.082816,0.304718,0.905319,19414,257240,132684,3239,1578,829,16,83,35,693,9,0.938487,0.169765,10,153,95.715438,2
meshtastic-like,20,1200.0,194,95,99,0.989474,0.932797,0.582589,94,4525,7588,7588,0,0,1872.596992,0.405412,0.656175,14179,357633,196585,5082,3104,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,20,1200.0,194,95,99,0.463158,0.942898,0.403828,44,4574,5634,4706,928,44,1390.381056,0.301079,0.509366,12555,263511,121975,2669,0,866,18,33,62,0,0,0.0,0.164714,0,0,0.0,-1
calm-mesh,20,1200.0,194,95,99,0.494737,0.95403,0.655469,47,4628,4901,4144,757,52,1209.488384,0.258714,0.493496,13239,226910,112704,2478,1321,690,15,47,48,2,7,0.928357,0.154458,0,0,0.0,-1
smart-calm,20,1200.0,194,95,99,0.926316,0.943105,13.681961,88,4575,5749,5003,746,90,1418.761216,0.304259,0.741853,16988,264713,127457,2570,1477,643,13,58,37,885,7,0.943974,0.129762,8,134,99.561397,1
