protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
smart-calm,13,1200.0,129,63,66,0.968254,0.921459,9.81496,61,2980,3946,3235,711,63,973.809664,0.320227,0.518354,12055,181299,85827,1864,960,636,12,38,25,543,6,0.953183,0.180182,5,101,101.239026,0
meshtastic-like,14,1200.0,114,46,68,0.956522,0.968788,0.400349,44,3228,4544,4544,0,0,1121.386496,0.342722,0.609238,8028,214187,112540,2652,1679,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,14,1200.0,114,46,68,0.891304,0.995798,0.487549,41,3318,4455,3413,1042,41,1099.42272,0.327307,0.554614,10541,207754,97068,2212,0,981,20,25,21,0,0,0.0,0.233895,0,0,0.0,-1
calm-mesh,14,1200.0,114,46,68,0.891304,0.981693,1.007959,41,3271,3701,2959,742,41,913.347584,0.275769,0.538924,10176,171173,79608,1598,967,687,14,30,16,43,8,0.956192,0.200486,0,0,0.0,-1
smart-calm,14,1200.0,114,46,68,1.0,0.952881,1.50145,46,3175,3540,2902,638,47,873.61536,0.271225,0.452408,10388,163072,76805,1570,902,580,11,34,12,44,5,0.952705,0.180226,4,86,87.595815,1
meshtastic-like,15,1200.0,135,68,67,0.955882,0.908316,0.521754,65,2982,5180,5180,0,0,1278.34112,0.419541,0.625581,9594,244226,132724,3427,2122,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,15,1200.0,135,68,67,0.411765,0.920195,0.458313,28,3021,3947,3114,833,30,974.056448,0.319468,0.53621,8817,184586,86740,1839,0,784,19,17,51,0,0,0.0,0.211046,0,0,0.0,-1
calm-mesh,15,1200.0,135,68,67,0.926471,0.914408,1.156773,63,3002,3928,2928,1000,66,969.367552,0.31627,0.554412,12795,179677,90160,2140,1017,918,16,46,22,189,14,0.940002,0.254582,0,0,0.0,-1
smart-calm,15,1200.0,135,68,67,0.897059,0.885471,15.90008,61,2907,4845,3843,1002,64,1195.66848,0.402853,0.956347,12597,224465,114432,2858,1270,923,15,22,46,1262,11,0.919022,0.206811,11,106,46.449476,2
meshtastic-like,16,1200.0,121,53,68,0.924528,0.92467,0.372917,49,3081,4704,4704,0,0,1160.871936,0.370886,0.536734,7824,222672,116919,2348,1585,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,16,1200.0,121,53,68,0.754717,0.967587,0.45655,40,3224,4315,3321,994,42,1064.87296,0.326248,0.593004,10797,200638,94050,2353,0,931,21,27,26,0,0,0.0,0.230359,0,0,0.0,-1
calm-mesh,16,1200.0,121,53,68,0.886792,0.962785,0.868235,47,3208,3520,2823,697,47,868.67968,0.266875,0.610585,10919,161561,79169,2025,1059,637,13,40,13,0,5,0.952049,0.198011,0,0,0.0,-1
smart-calm,16,1200.0,121,53,68,1.0,0.97479,7.21368,53,3248,3634,3029,605,55,896.813056,0.271679,0.712301,11203,166863,79252,1678,984,539,11,39,14,124,3,0.952802,0.166483,1,93,96.520214,0
meshtastic-like,17,1200.0,107,53,54,0.924528,0.981481,0.718381,49,2597,4089,4089,0,0,1009.099776,0.381368,0.292962,7751,192610,107601,2758,1797,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,17,1200.0,107,53,54,0.754717,0.981481,0.493568,40,2597,3798,2702,1096,44,937.285632,0.355436,0.282452,9815,176287,78682,1588,0,1029,23,26,27,0,0,0.0,0.288573,0,0,0.0,-1
calm-mesh,17,1200.0,107,53,54,0.641509,0.980726,0.907603,34,2595,2919,2285,634,34,720.362496,0.274006,0.30774,8433,134598,63505,1350,720,588,12,30,23,0,4,0.951707,0.217198,0,0,0.0,-1
smart-calm,17,1200.0,107,53,54,0.981132,1.0,4.179137,52,2646,3096,2443,653,58,764.043264,0.283189,0.435496,10326,141378,69467,1506,853,584,11,39,14,105,6,0.95175,0.210917,1,92,83.759662,0
meshtastic-like,18,1200.0,122,67,55,0.985075,0.927273,0.49518,66,2499,4838,4838,0,0,1193.940992,0.465474,0.322202,8148,228914,119813,2422,1728,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,18,1200.0,122,67,55,0.910448,0.963636,0.420463,61,2597,3929,2718,1211,61,969.614336,0.364791,0.387832,11626,180895,82161,1934,0,1126,24,44,23,0,0,0.0,0.308221,0,0,0.0,-1
calm-mesh,18,1200.0,122,67,55,0.716418,1.0,0.761672,48,2695,3095,2398,697,48,763.79648,0.278453,0.411137,10202,141453,66960,1630,749,636,13,43,24,0,5,0.94402,0.225202,0,0,0.0,-1
smart-calm,18,1200.0,122,67,55,0.955224,0.962523,6.061649,64,2594,3094,2377,717,68,763.549696,0.287265,0.593066,12101,139505,69557,1837,830,637,12,54,13,30,5,0.927906,0.231739,1,107,92.386793,0
meshtastic-like,19,1200.0,116,67,49,1.0,0.958351,0.47981,67,2301,4595,4595,0,0,1133.97248,0.478874,0.495307,8665,216490,120647,3087,1928,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,19,1200.0,116,67,49,0.940299,0.975427,0.43481,63,2342,3718,2455,1263,63,917.542912,0.381515,0.391678,11221,170961,76917,1636,0,1176,24,42,25,0,0,0.0,0.339699,0,0,0.0,-1
calm-mesh,19,1200.0,116,67,49,0.820896,1.0,0.777842,55,2401,3022,2167,855,55,745.781248,0.303657,0.363123,10480,137598,63066,1211,615,784,16,46,21,0,8,0.951816,0.282925,0,0,0.0,-1
smart-calm,19,1200.0,116,67,49,0.985075,0.996252,3.776502,66,2392,2829,2161,668,68,698.151936,0.284033,0.482002,11255,127366,59401,1113,677,588,12,54,13,0,4,0.952878,0.236126,5,107,113.591546,0
meshtastic-like,20,1200.0,117,50,67,0.94,0.981419,0.658641,47,3222,4616,4616,0,0,1139.154944,0.348472,0.43498,8500,217684,118989,2974,1897,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,20,1200.0,117,50,67,0.34,0.981419,0.537118,17,3222,3990,3306,684,17,984.66816,0.304004,0.353163,7382,188128,84840,1742,0,652,15,9,41,0,0,0.0,0.171429,0,0,0.0,-1
calm-mesh,20,1200.0,117,50,67,0.68,0.995126,0.973685,34,3267,3784,2984,800,34,933.830656,0.282893,0.435778,9886,175530,83318,1796,940,752,14,29,21,37,8,0.95809,0.211416,0,0,0.0,-1
smart-calm,20,1200.0,117,50,67,0.98,0.972586,9.997276,49,3193,4135,3466,669,50,1020.45184,0.31476,0.499836,10667,191948,89194,1575,928,608,11,28,22,546,5,0.95317,0.16179,7,90,81.822518,0
